"CLIENT_ISO_CODE","CITY","ZIPCODE","LONGITUDE","LATITUDE","id_cp"
"NL","Alkmaar","1821 ap",4.7604,52.6289,1234567
"ES","MADRID","28013",-3.7118,40.419,1234568
"MX","Playa del Carmen","77727",-87.0657,20.6519,1234569
"DE","Berlin","13591",13.1405,52.5345,1234570
"NL","Den Haag","2571 ht",4.2903,52.0689,1234571
"GB","Newtownabbey","BT37 0za",-5.8871,54.6809,1234572
"IE","Naas","W91T8P3",-6.6669,53.2158,1234573
"GB","London","W14 8JJ",-0.2073,51.4989,1234574
"NO","INDRE ARNA","5260",5.4689,60.4307,1234575
"PL","Kórnik","62-035",17.0897,52.2645,1234576
"ES","torrecera","11595",-5.978,36.6053,1234577
"PL","Warszawa","03-193",20.9929,52.3065,1234578
"US","Bronx","10458",-73.8895,40.8633,1234579
"GB","London","SE16 2BE",-0.0533,51.4907,1234580
"IN","Ludhiana","141001",75.6916,31.3267,1234581
"PL","Jarocin","63-200",17.5771,51.9104,1234582
"BE","BRUXELLES","1050",4.3667,50.8333,1234583
"TR","Ankara","06810",32.7095,39.8808,1234584
"FR","Orly","94310",2.3925,48.7479,1234585
"PL","Warszawa","02-496",20.8633,52.2016,1234586
"US","Belle mead","08502",-74.6557,40.4483,1234587
"IT","LECCE","73100",18.2437,40.4276,1234588
"PL","Warszawa","02-654",20.9887,52.1946,1234589
"TR","Iğdır","76000",42.8222,39.9261,1234590
"GB","OLDHAM","OL9 0NF",-2.1512,53.551,1234591
"IT","Ivrea","10015",7.8762,45.4672,1234592
"US","HIALEAH","33018",-80.3889,25.9098,1234593
"ES","Meco","28880",-3.3288,40.5564,1234594
"FR","LEVENS","06670",7.2258,43.8595,1234595
"GB","Birmingham","B29 6NA",-1.9388,52.4401,1234596
"TR","Kırklareli","39750",27.55,41.3667,1234597
"ES","ZAMORA","49015",-5.7408,41.5059,1234598
"BE","VERVIERS","4800",5.8325,50.5904,1234599
"GB","Manchester","M22 4QN",-2.2547,53.3881,1234600
"AU","NORTH BALGOWLAH","2093",151.267,-33.7873,1234601
"NL","Gouda","2807 lj",4.7517,52.0058,1234602
"PL","JAROSŁAW","37-514",22.702,49.9703,1234603
"MX","Ciudad de México","03200",-99.1667,19.3833,1234604
"ES","LEGANES","28916",-3.741,40.3378,1234605
"PL","Opole","45-056",17.9312,50.6691,1234606
"FR","Henonville","60119",2.0136,49.2002,1234607
"AT","Wien","1100",16.3878,48.1521,1234608
"PL","Kudowa Zdrój","57-350",16.2732,50.4377,1234609
"DE","HAMBURG","20354",9.9853,53.5694,1234610
"IT","Terni","05100",12.6976,42.6196,1234611
"GB","London","NW10 5LE",-0.2168,51.5284,1234612
"ES","Albacete","02001",-1.8391,39.0019,1234613
"NL","Leimuiden","2451 AL",4.6716,52.2249,1234614
"GB","SOLIHULL","B93 0EJ",-1.7332,52.3915,1234615
"DE","Schloß Holte-Stukenbrock","33758",8.6167,51.9,1234616
"IN","Gurugram","122003",76.9839,28.418,1234617
"PT","VILA NOVA DE GAIA","4404-503",-8.6174,41.1336,1234618
"ES","Madrid","28008",-3.7257,40.43,1234619
"SE","Sundbyberg","17279",17.9711,59.3613,1234620
"SE","VÅRBY","14341",17.8833,59.2667,1234621
"NL","Breukelen","3621 bz",5.0056,52.1825,1234622
"ES","Madrid","28050",-3.6674,40.5005,1234623
"IN","Bengaluru","560071",77.575,13.2257,1234624
"GB","BUNTINGFORD","SG9 0DU",0.0209,51.9449,1234625
"US","SAN FRANCISCO","94132",-122.4754,37.7211,1234626
"AU","ALDERLEY","4051",153.0011,-27.4247,1234627
"GB","Cardiff","CF14 7TJ",-3.2272,51.5296,1234628
"FR","Bordeaux","33100",-0.5805,44.8404,1234629
"TR","İstanbul","34880",29.2,40.9167,1234630
"TR","İstanbul","34340",29.0296,41.065,1234631
"NL","Rotterdam","3022 LC",4.4462,51.9171,1234632
"PL","Warszawa","02-943",21.0551,52.1907,1234633
"ES","Murcia","30007",-1.0993,38.0078,1234634
"NL","Uithoorn","1422 HK",4.822,52.2458,1234635
"NL","Amsterdam","1056 CV",4.8481,52.3736,1234636
"DE","Swisttal","53913",6.9167,50.7,1234637
"NL","Apeldoorn","7316 AV",5.9655,52.2193,1234638
"ES","Torremolinos","29620",-4.516,36.6266,1234639
"IN","PUNE","411005",73.8471,18.5247,1234640
"US","Philadelphia","19123",-75.151,39.966,1234641
"NL","Utrecht","3552 ez",5.1002,52.1074,1234642
"US","Vienna","22182",-77.2649,38.928,1234643
"ES","Madrid","28028",-3.6649,40.4319,1234644
"ES","Zaratán","47610",-4.8002,41.6507,1234645
"IT","BOLOGNA","40121",11.3387,44.4938,1234646
"GB","Leeds","LS2 8GH",-1.5416,53.8025,1234647
"FR","Vaires Sur Marne","77360",2.6398,48.8765,1234648
"ES","MOCEJÓN","45270",-3.9165,39.9256,1234649
"US","OAKLAND GARDENS","11364",-73.7588,40.7428,1234650
"PT","Vila Real Santo António","8900-322",-7.4177,37.195,1234651
"CH","Balsthal","4710",7.7003,47.3143,1234652
"CA","Toronto","M9R1M4",-79.546,43.6928,1234653
"FR","Clermont Ferrand","63100",3.0868,45.7797,1234654
"US","Lehi","84043",-111.8506,40.3958,1234655
"NL","Makkum","8754 LC",5.4127,53.0633,1234656
"US","Los Angeles","90068",-118.3305,34.1156,1234657
"PT","LISBOA","1050-020",-9.1333,38.7167,1234658
"ES","Javea","03730",0.165,38.7956,1234659
"GB","Hartlepool","TS24 7AA",-1.2104,54.6816,1234660
"ES","SEVILLA","41001",-5.9978,37.3896,1234661
"CA","VAUGHAN","L4J8M9",-79.4699,43.8253,1234662
"PL","Częstochowa","42-200",19.1161,50.8107,1234663
"US","NEW YORK","10103",-73.9762,40.7603,1234664
