"product_id","category_name","weight_g","length_cm","height_cm","width_cm"
"aa68716e61f409a9a1094f206119ddb8","perfumery",225,16,10,14
"03ab5b3cf2c9a5ab6039a9bc1f089b05","art",1000,30,18,20
"1e4a30072f1b19d96ce3da120be7cada","sports_leisure",154,18,9,15
"6e00272a496022fdf121e65445fe3060","baby",371,26,4,26
"9ae40d5c6624e048b579fb187d05cba7","housewares",625,20,17,13
"09027fde601b2942c204c312eb5d024f","musical_instruments",200,38,5,11
"de5bc533fa16142cf137eba80fa2a0a8","cool_stuff",18350,70,24,44
"c4bcfc2b8f8fb6d00ab49be4f3bb3aea","furniture_decor",900,40,8,40
"6a5ec87f28d7361fc10050a9d24f19eb","home_appliances",400,27,13,17
"6001f2a375042a7a519923aaa8108109","toys",600,17,10,12
"a8321840b4dc8604b736a05711690acc","bed_bath_table",1100,16,10,16
"46cef89335fb8910c8ef4c4d0320f1ad","baby",7150,50,19,45
"d33bcd95a57f5bd855d2987b54ec478c","musical_instruments",250,17,7,17
"577b70909dac1588550fda7da5e2b627","furniture_decor",600,68,11,13
"4067d48eb91c37e3d3928a18b054539c","construction_tools_safety",200,17,7,17
"ffc436e6fff31135d4a8601e54ae837a","sports_leisure",800,16,2,11
"e75d8f70d3202cc3245d7b00eee8b240","perfumery",400,27,5,20
"1d9c52bb128ffd19c5e8584fb9a4abb9","computers_accessories",900,40,15,20
"06f8af01aee9520df9f9e0799ff88182","furniture_decor",1700,100,7,15
"9f325e96f79b1c475b8d7ee472ba5c2f","bed_bath_table",500,16,10,16
"3c31eb1e846869aa6a75a5bfb1f1aa8f","furniture_decor",2550,29,24,45
"09ac15df04388be168d0e6ffe39179d7","bed_bath_table",800,36,8,16
"8bf8f69caeea37d8121b17cb34efb0e9","health_beauty",75,21,7,13
"97f243a0370bb17f50506b9741023046","baby",500,20,13,13
"4ac731d7025a35dead972ef75be8b86f","furniture_decor",1800,40,10,30
"8d60d8689abfeebe6b6e4d99fab87d91","housewares",900,50,5,50
"5fe42d888a907ac214767f3a8e932c71","luggage_accessories",3600,35,25,50
"27dd3da8b474e9925c4875209fa04cc9","computers_accessories",300,42,2,30
"f5cc7f5965474ad6d071793abf2e81ed","computers_accessories",740,23,13,13
"702e5cbc5c4c53c2ca883908158ef151","sports_leisure",3600,62,23,23
"4881f3423f4923592a75d675bca257a8","bed_bath_table",650,16,10,16
"f4c8a9d58c51214acc7c8680dcadac86","garden_tools",2150,70,8,34
"9c36a84061bd6408c0310130a55795b7","furniture_decor",800,40,10,34
"306795371f66bad9e404c8e819867694","office_furniture",8950,52,51,17
"2c35d7d237600c9fdaa9e1f356926d8e","sports_leisure",1388,34,9,31
"9462653a0541ddc61cf2695561ad11f5","baby",7950,33,30,44
"d82be8d78f0cfcb0498926aeb16b45d2","auto",6000,87,3,42
"a6ea3e503778d62a8db30765aa43ce03","electronics",263,18,12,16
"1ead04dab7032b6a4fc5c86e4cb7010d","housewares",3900,19,20,15
"9a776549c0d13bdd16454bcd08e050fb","furniture_decor",600,25,25,25
"982d9c09cf9c00a613068cb5778bc8be","furniture_decor",2050,49,13,41
"d9ff1dad114176f55c4aeddf17f4d729","toys",725,22,17,15
"dc49e28afe5050028628541ea6aa6456","bed_bath_table",6350,45,15,35
"049bc23fc91448c630e132da8cc7ba09","baby",600,70,11,11
"321b19eaff3b139da1dd5d3145109b51","cool_stuff",11750,18,40,79
"738de91de671a6a835341da87ea62a6c","toys",2550,22,32,38
"530643f1dffc75001c931d436c6c1df2","cool_stuff",15350,47,40,47
"eb24d4c40a72c3be8a73ffc0f7eac2e1","furniture_decor",1300,25,16,25
"f79b33a9bf9535a587093d9a3f89935a","furniture_decor",850,69,11,11
"7fa4de88b3653a96cb29b4227ff9e6e8","health_beauty",1300,19,28,17
